English (United States),French (Canada),Context,Created By,Created On,Date,Date2,ExampleFile,KBase ID,Modified By,Modified On,Note,Note2
sub topic,sous-sujet,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Subject line,ligne d'objet,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Submit Online (New!),soumettre en ligne (nouveau !),,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Succes stories,exemples de r??ussite,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Summary,r??sum??,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Summary of Coverage,r??sum?? de la couverture,HRweb,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Sunday,dimanche,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Supplies,mat??riel,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Surprise Database,base de donn??es surprise,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Suspend,suspendre,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
sweeper,responsable du triage des clients,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Switch 101,Passage ?? Linux 1 2 3,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
switcher,switcher / se convertir en utilisateur Linux,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
switching to Linux,passer au Linux / faire le saut / passage au Linux,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
system requirements,configuration requise,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
systematically receive,recevoir syst??matiquement,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
T&A (Time & Attendance),horaires et pr??sences (T&A),,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
T&Cs (Terms and Conditions),termes et conditions (T&Cs),,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
TA (Travel Authorization),autorisation de voyage (TA),,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
tab,onglet,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
table,table,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Take One,pamphlet Take One,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Talk Linux,Parlez Linux,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Tally a Solution Center,prendre l'inventaire d'un centre de d??monstration,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Tally All Demos,prendre l'inventaire de tous les produits de d??monstration,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
tally report,rapport de prise d'inventaire,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Task,t??che,,Admin,26.06.2007 - 06:52:10,,,,,Admin,26.06.2007 - 06:52:10,,
Task ID,No de t??che,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
TAT (Turn around Time),temps de r??ponse de r??paration (TAT),,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tax department,service de gestion financi??re,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tax exemption,exon??ration d'imp??t,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tax Exemption No,certificat d'exon??ration de taxe,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tax ID,num??ro d'entreprise,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tax Withholding,retenues aux fins d??imp??ts,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Taxable Benefits,avantages sociaux imposables,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Team Sales,??quipes de ventes,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tear sheet,fiche de sp??cifications / fiche de pr??sentation,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tech Assist page,page d'aide aux techniciens,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tech Specs,sp??cifications techniques,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Technical Support Tier 2,soutien technique de niveau??2,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Technical Support Tier I,soutien technique de niveau I,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
telephone support,assistance t??l??phonique,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tell us about your experience,faites-nous part de votre exp??rience,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tellermate cash counter,le compteur de billets Tellermate,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Template,mod??le,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
ten,dix,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Termination,licenciement,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Termination Checklist,liste de contr??le de d??part,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Termination of Coverage,expiration de la couverture,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Termination of Employment,cessation d??emploi,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Testing Alarm Systems,mise ?? l'essai des syst??mes d'alarme,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Thank you for contacting us,Nous vous remercions d'avoir communiqu?? avec nous,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Thank you for shopping at Welocalize!,Nous vous remercions de magasiner chez Welocalize !,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Thank you stickers,Autocollants ?? Merci ??,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
"the ""Ask RFL"" email builder",cr??ateur de courriels ????Se renseigner aupr??s de RFL????,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
"the ""Misc"" email builder",cr??ateur de courriels ????Misc????,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
the Bus,Le Bus,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Business Retail Team,l'??quipe de commerce au d??tail,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Business Team,l'??quipe commercial,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Family Room,La Family Room,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Genius Bar,Le Genius Bar,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Kid's Zone,la section des enfants,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Moral of the Story,la morale de l'histoire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Red Zone,La Red Zone,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Retail Business Development Team,l'??quipe de d??velopement du commerce au d??tail,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
The Studio,Le Studio,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Theater Manager,Directeur de th????tre,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Theater Scripts,script de th????tre,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Think Welocalize,Pensez Welocalize,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Third Party,tiers,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Third Party Products,"produits tiers, produit de concepteur/fabricant/soci??t?? tiers(ce)",,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Third Party Promotions,promotions d??une soci??t?? tierce,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Third-Party (3PP) Accessories,accessoires d??une soci??t?? tierce,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
third-party product,produit d'un tiers,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
thirteen,treize,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
This article may not be viewed by customers,Le contenu de cet article ne doit pas ??tre partag?? avec les clients.,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
This slide supplied by Store Communications. Do not alter.,Cette diapositive est fournie par le service de communications aux boutiques. N'effectuez aucune modification.,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
This Terminal has not been previously setup in this system during online mode.,Ce terminal n??a pas ??t?? pr??alablement ajout?? au syst??me durant le mode en ligne.,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
three,trois,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
"three P's (Position, Permission, Probe)","trois??P - Position, Permission, Probe (position, autorisation, renseignement)",,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
thriller,film ?? suspens,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
thumbnail,vignette,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Thursday,jeudi,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Ticket,bon de r??paration,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tie,?? ??galit??,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tiered Repair,r??paration ?? plusieurs niveaux,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tiger event,??v??nement Tiger,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
till,tiroir-caisse,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Till Pickup,r??cup??ration du tiroir-caisse,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Time,heure,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Time and Attendance,gestion des heures et pr??sences,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Time Away,Cong??,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Time Off,cong??s,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
time slot,plage horaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
TIME TO FAILURE,dur??e avant d??faillance,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Timekeeping,fonction de chronom??trage,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
timeline,chronologie,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tips and Cash,pourboire et argent comptant,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tips and tricks,conseils pratiques,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Title,description,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
TL (Truck Load),chargement complet (TL),,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
To Be Refreshed,?? remettre ?? neuf,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
To expense,passer en charges / ajouter au compte de d??penses,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
toggle,basculer,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
toolkit,trousse ?? outils,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Top Gifts,Id??es cadeaux,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
top of the queue,en t??te de liste,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
topic,rubrique / sujet,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Total Perf Bonus,prime totale de Performance,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Total Perf Bonus = (FY06) Perf Bonus + Proposed Bonus,prime totale de Performance = Prime de Performance de l'Ann??e Fiscale Pr??c??dente + Prime Propos??e,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Track/History,suivi/historique,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Trademark and Copyright Department,d??partement des marques de commerce et droits d'auteur (Copyright),,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Trainer,formateur,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Training,Formation,ARW web,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Training Library,biblioth??que de formation,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Training Mode,mode de formation,POS,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Training to go.,formation ?? emporter,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Transaction History Report,rapport d'historique des transactions,Misc,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Transaction Void,annulation de transactions,POS,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Transfer Initiation/Issue,transfert de marchandise/Probl??me,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Transfer Initiation/Issue Email Builder,cr??ateur de courriels pour transfert/probl??me de marchandise,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Transfer Issue,probl??me de transfert,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Transfer Slip,bordereau de transfert,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Transfers,transferts,HRweb,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Transfer-tracking tool,outil de suivi pour transferts,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
transformational,r??volutionnaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Translation,Traduction,ARW web,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Translation Process,Processus de traduction,ARW web,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Trash (Linux OS),corbeille,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Travel and Expense Reimbursement,remboursement des frais de voyage et de repr??sentation,P & P,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Traveller??s Cheque,ch??que de voyage,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
triage,tri,Kbase Articles,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
trial version,version d'essai,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
troubleshoot,d??pannage,Kbase Articles,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
try again,tenter ?? nouveau,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Ts and Cs,conditions g??n??rales,ARW Postings,Admin,21.09.2006 - 06:42:16,,,L21027A-US.doc,,Admin,21.09.2006 - 06:42:16,,
t-shirt,tee-shirt,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Tuesday,mardi,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Turnaround Time,temps de r??ponse de r??parations,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
tutorial,cours individuel,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
twelve,douze,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
twenty,vingt,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
two,deux,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Two Day,deux jours,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Types of Packaging,types d'emballage,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Types of Service,types de service,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Ultimate Ears,Ultimate Ears,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Under POS (Cash wrap),sous le point de vente (POS) / sous la caisse (POS),,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
underscore,tiret de soulignement,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Unemployment Insurance Commission,commission de l'assurance-emploi,HRweb,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Unexpected sections,sections inattendues,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Unit Accuracy,pr??cision des unit??s,ICS Training,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
unit accuracy and shrinkage,pr??cision et diminution des unit??s,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
unit and dollar accuracy,pr??cision des unit??s et du dollar,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Unit Cost,co??t unitaire,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
unit price,prix unitaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
United Kingdom,Royaume-Uni,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
United States and Canada,??tats-Unis et Canada,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Unopened Box,bo??te non ouverte,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Unrestricted,non restreint,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Unsecured - Level 1,Non s??curis????-??Niveau??1,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
UOB (Unopened Box),bo??te non ouverte (UOB),,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
up,en-haut,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
UPCs,codes CUP,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
update,mise ?? jour,RFL,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
Update UPC Database,mise ?? jour de la base de donn??es des codes CUP,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
upgrade,mise ?? niveau,Kbase Articles,Admin,21.09.2006 - 06:42:16,,,,,Admin,21.09.2006 - 06:42:16,,
upper left/right corner,angle supp??rieur gauche/droit,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
upper management,haute direction,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
UPT (Units per transaction),nombre d??articles par transaction (UPT),,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
URL,lien,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
US $,$ CAD,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
USB,USB,ARW Postings,Admin,21.09.2006 - 06:42:16,,,L104146A-US.doc,,Admin,21.09.2006 - 06:42:16,,
USB cables,c??bles USB,RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
USB Hub,concentateur USB,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
USB keychain hard drive,m??moire porte-cl?? USB,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Use existing template,utiliser le mod??le existant,RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
User ID,nom d'utilisateur,RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Utility,utilitaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Vac Pay at Termination,paie de vacances ?? la cessation d'emploi,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Vacations,cong??s annuels,HRweb,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Validate Demo Database,valider la base de donn??es des produits de d??monstration,RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
value of switching from Windows to Linux,l??int??r??t du passage de Windows ?? Linux,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Value of the goods,valeur des marchandises,RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Variable per km reimbursement,remboursement variable par km,HRweb,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
versus,versus,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
veteran,ancien combattant,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Video,vid??o,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Video card,carte vid??o,Kbase Articles,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
View All Product,afficher tous les produits,RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
View/Print Bill of Lading,afficher/imprimer la facture de fret/d'exp??dition,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
View/Print Shipping Labels,afficher/imprimer les ??tiquettes d'exp??dition,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
violator,autocollant ou affiche secondaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Visual,Pr??sentation visuelle,ARW web,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Visual Manager,directeur de pr??sentation visuelle,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Visual Merchandising Guide,Guide de mise en march??,ARW web,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
visual/floor changes,changements visuels/r??am??nagement du plancher,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
voiceover,voix hors champ,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
voluntarily and knowingly,volontairement et en toute connaissance de cause,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Voluntary AD&D Plan,R??gime volontaire de garantie en cas de d??c??s ou de mutilation par accident,HRweb,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Voluntary Termination,d??part ?? titre volontaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
vs.,vs,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
warm boot,red??marrage ?? chaud,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
warranty type,type de garantie,Kbase Articles,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Wash (part wash),purge des pi??ces,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Washington Inventory Services (WIS),Washington Inventory Services (WIS),RFL,Admin,21.09.2006 - 06:42:21,,,,,Admin,21.09.2006 - 06:42:21,,
Watermark,filigrane,P & P,Admin,21.09.2006 - 06:42:22,,,,,Admin,21.09.2006 - 06:42:22,,
web self-service,libre-service sur le Web,Kbase Articles,Admin,21.09.2006 - 06:42:22,,,,,Admin,21.09.2006 - 06:42:22,,
web tile,banni??re publicitaire,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Web/ Telesale Return,retour Web/T??l??vente,POS,Admin,21.09.2006 - 06:42:22,,,,,Admin,21.09.2006 - 06:42:22,,
web-based,application Web,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Webmail,messagerie Web,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
Wednesday,mercredi,,Admin,26.06.2007 - 06:52:11,,,,,Admin,26.06.2007 - 06:52:11,,
weekly 3pp open box return program,programme hebdomadaire de retour avec bo??te ouverte 3PP,RFL,Admin,21.09.2006 - 06:42:22,,,,,Admin,21.09.2006 - 06:42:22,,
Weekly Mileage Expense Report,rapport de d??penses du kilom??trage hebdomadaire,HRweb,Admin,21.09.2006 - 06:42:22,,,,,Admin,21.09.2006 - 06:42:22,,
